title	rank	total_question_count	wikidata_id	wikidata_label	wikidata_description	creators	sort_year	date_label	confidence	decision
Requiem	768	118	""	""	""	""	""	""	""	no_high_confidence_match
Seven Gothic Tales	769	130	""	""	""	""	""	""	""	no_high_confidence_match
Angle of Repose	770	113	Q4763360	Angle of Repose	book by Wallace Stegner	Wallace Stegner	1971	1971	high	accepted_overlay
The Cloud Messenger	771	115	""	""	""	""	""	""	""	no_high_confidence_match
The Ballad of Reading Gaol	772	143	Q2119279	The Ballad of Reading Gaol	poem by Oscar Wilde, published in 1898	Oscar Wilde	1898	1898	high	accepted_overlay
Slouching Towards Bethlehem	773	120	Q7541455	Slouching Towards Bethlehem	essay by Joan Didion	Joan Didion	1968	1968	high	accepted_overlay
Do Androids Dream of Electric Sheep	774	112	Q605249	Do Androids Dream of Electric Sheep?	science fiction novel by Philip K. Dick	Philip K. Dick	1968	1968	high	accepted_overlay
The Stone Raft	775	170	Q1171599	The Stone Raft	1986 novel by José Saramago	José Saramago	1986	1986	high	accepted_overlay
The Screwtape Letters	776	148	Q2267287	The Screwtape Letters	satirical, epistolary Christian apologetic novel by C. S. Lewis	C. S. Lewis	1942	1942	high	accepted_overlay
The Big Money	777	171	Q42184176	The Big Money	novel by John Dos Passos	John Dos Passos		""	medium	accepted_overlay
Under the Volcano	778	77	Q1570020	Under the Volcano	1947 book	Malcolm Lowry	1947	1947	high	accepted_overlay
A Hunger Artist	779	105	Q1304684	A Hunger Artist	short story by Franz Kafka	Franz Kafka	1922	1922	high	accepted_overlay
Rhinoceros	780	72	Q1215121	Rhinoceros	play by Eugène Ionesco	Eugène Ionesco	1959	1959	high	accepted_overlay
Notes of a Native Son	781	93	Q7062618	Notes of a Native Son	essay by James Baldwin	James Baldwin	1955	1955	high	accepted_overlay
Shall I compare thee to a summer’s day	782	182	""	""	""	""	""	""	""	no_high_confidence_match
Inferno	783	65	Q4509219	Inferno	"first part of Dante Alighieri's ""Divine Comedy"""	Dante Alighieri	1304	1304	high	accepted_overlay
Tonight I Can Write the Saddest Lines	784	237	""	""	""	""	""	""	""	no_high_confidence_match
Eyeless in Gaza	785	140	Q5422772	Eyeless in Gaza	novel by Aldous Huxley	Aldous Huxley	1936	1936	high	accepted_overlay
The Confidence Man	788	135	Q3820043	The Confidence-Man	novel by Herman Melville	Herman Melville	1857	1857	high	accepted_overlay
New Hampshire	789	265	""	""	""	""	""	""	""	no_high_confidence_match
The Ring and the Book	790	93	Q3202051	The Ring and the Book	1868 poem written by Robert Browning	Robert Browning	1868	1868	high	accepted_overlay
Kalevala	791	61	""	""	""	""	""	""	""	no_high_confidence_match
Leda and the Swan	792	145	""	""	""	""	""	""	""	no_high_confidence_match
The Ballad of the Sad Cafe	793	104	Q7715451	The Ballad of the Sad Café	novel by Carson McCullers	Carson McCullers	1951	1951	high	accepted_overlay
Skunk Hour	794	122	""	""	""	""	""	""	""	no_high_confidence_match
Magister Ludi	795	130	Q836841	The Glass Bead Game	novel by Hermann Hesse (1943)	Hermann Hesse	1943	1943	high	accepted_overlay
i sing of Olaf glad and big	796	118	""	""	""	""	""	""	""	no_high_confidence_match
Astrophel and Stella	797	102	""	""	""	""	""	""	""	no_high_confidence_match
The Courtship of Miles Standish	798	105	Q7727869	The Courtship of Miles Standish	1858 poem written by Henry Wadsworth Longfellow	Henry Wadsworth Longfellow	1858	1858	high	accepted_overlay
