title	rank	total_question_count	wikidata_id	wikidata_label	wikidata_description	creators	sort_year	date_label	confidence	decision
His Last Bow	2283	30	Q2573817	His Last Bow	short Story by Arthur Conan Doyle	Arthur Conan Doyle	1917	1917	high	accepted_overlay
The Power of Sympathy	2284	19	Q3522299	The Power of Sympathy	book by William Hill Brown	William Hill Brown	1789	1789	high	accepted_overlay
Back to Methuselah	2285	37	""	""	""	""	""	""	""	no_high_confidence_match
The Old Bachelor	2286	52	Q7754796	The Old Bachelor	play written by William Congreve	William Congreve		""	medium	accepted_overlay
History of Plymouth Plantation	2287	32	""	""	""	""	""	""	""	no_high_confidence_match
The Admirable Crichton	2288	38	Q1248928	The Admirable Crichton	comic stage play written by J. M. Barrie	J. M. Barrie		""	medium	accepted_overlay
Master Class	2289	26	Q3851573	Master Class	play written by Terrence McNally	Terrence McNally		""	medium	accepted_overlay
The Island of Doctor Moreau	2290	60	Q718268	The Island of Dr Moreau	1896 novel by Herbert George Wells	H. G. Wells	1896	1896	high	accepted_overlay
Castle Rackrent	2291	25	""	""	""	""	""	""	""	no_high_confidence_match
Pather Panchali	2292	36	Q2948187	Pather Panchali	1929 novel by Bibhutibhushan Bandyopadhyay	Bibhutibhushan Bandyopadhyay	1929	1929	high	accepted_overlay
Laughable Loves	2293	26	Q2529488	Laughable Loves	1970 short story collection by Milan Kundera	Milan Kundera	1970	1970	high	accepted_overlay
The Shadow Over Innsmouth	2294	36	Q1068054	The Shadow Over Innsmouth	1936 novella by H. P. Lovecraft	H. P. Lovecraft	1936	1936	high	accepted_overlay
The Critic	2295	26	""	""	""	""	""	""	""	no_high_confidence_match
The Royal Nonesuch	2296	55	""	""	""	""	""	""	""	no_high_confidence_match
Of Love and Other Demons	2297	25	Q267650	Of Love and Other Demons	novel by Gabriel García Márquez	Gabriel García Márquez	1994	1994	high	accepted_overlay
The Theatre and its Double	2298	19	""	""	""	""	""	""	""	no_high_confidence_match
The Decapitated Chicken	2299	27	""	""	""	""	""	""	""	no_high_confidence_match
Love in a Cold Climate	2300	32	Q16386787	Love in a Cold Climate	1949 novel by Nancy Mitford	Nancy Mitford	1949	1949	high	accepted_overlay
Going to Meet the Man	2301	35	Q16385843	Going to Meet the Man	1965 short story collection by James Baldwin	James Baldwin	1965	1965	high	accepted_overlay
Refusal to Mourn the Death	2302	52	""	""	""	""	""	""	""	no_high_confidence_match
Nesnesitelná lehkost bytí	2303	30	""	""	""	""	""	""	""	no_high_confidence_match
Les Trois Mousquetaires	2304	30	""	""	""	""	""	""	""	no_high_confidence_match
The Painter of Modern Life	2305	54	""	""	""	""	""	""	""	no_high_confidence_match
The Sick Rose	2306	52	Q3989274	The Sick Rose	poem by William Blake, poet painter and engraver	William Blake		""	medium	accepted_overlay
The Lair of the White Worm	2307	35	Q3566302	The Lair of the White Worm	1911 novel by Bram Stoker	Bram Stoker	1911	1911	high	accepted_overlay
Holy Sonnet X	2308	21	Q2088281	Death Be Not Proud	poem by John Donne	John Donne	1633	1633	high	accepted_overlay
Romancero Gitano	2309	26	Q584556	Romancero gitano	poetry collection	Federico García Lorca	1928	1928	high	accepted_overlay
Mont Blanc	2310	34	""	""	""	""	""	""	""	no_high_confidence_match
Le Bateau ivre	2311	19	Q332307	Le Bateau ivre	poem by Arthur Rimbaud	Arthur Rimbaud	1871	1871	high	accepted_overlay
The Plain Dealer	2312	33	Q3203701	The Plain Dealer	1677 play written by William Wycherley	William Wycherley	1677	1677	high	accepted_overlay
The Wonderful Wizard of Oz	2313	34	Q130295	The Wonderful Wizard of Oz	1900 children's novel by L. Frank Baum	L. Frank Baum	1900	1900	high	accepted_overlay
The Black Christ	2314	58	""	""	""	""	""	""	""	no_high_confidence_match
Ode on the Death of a Favorite Cat	2315	55	""	""	""	""	""	""	""	no_high_confidence_match
The House on Eccles Street	2316	55	""	""	""	""	""	""	""	no_high_confidence_match
Il nome della rosa	2317	24	""	""	""	""	""	""	""	no_high_confidence_match
Im Westen nichts Neues	2318	32	""	""	""	""	""	""	""	no_high_confidence_match
Witness for the Prosecution	2319	50	Q3258947	The Witness for the Prosecution	short story written by Agatha Christie	Agatha Christie	1925	1925	high	accepted_overlay
Heinrich von Ofterdingen	2320	54	Q58178849	Heinrich von Ofterdingen	novel by Novalis	Novalis	1802	1802	high	accepted_overlay
A Pair of Silk Stockings	2321	33	Q19024110	A Pair of Silk Stockings	short story by Kate Chopin	Kate Chopin	1897	1897	high	accepted_overlay
The Jewish Cemetery at Newport	2322	23	Q19091145	The Jewish Cemetery at Newport	poem by Henry Wadsworth Longfellow	Henry Wadsworth Longfellow		""	medium	accepted_overlay
King Hedley II	2323	32	Q6411694	King Hedley II	play written by August Wilson	August Wilson		""	medium	accepted_overlay
Scenes of Clerical Life	2324	53	Q6544172	Scenes of Clerical Life	1857 short story by George Eliot	George Eliot	1857	1857	high	accepted_overlay
Veinte poemas de amor y una canción desesperada	2325	20	""	""	""	""	""	""	""	no_high_confidence_match
Oranges Are Not the Only Fruit	2326	37	Q4843750	Oranges Are Not the Only Fruit	book by Jeanette Winterson	Jeanette Winterson	1985	1985	high	accepted_overlay
His Dark Materials	2327	53	""	""	""	""	""	""	""	no_high_confidence_match
More Light! More Light	2328	26	""	""	""	""	""	""	""	no_high_confidence_match
The Congo	2329	27	""	""	""	""	""	""	""	no_high_confidence_match
The Liberal Imagination	2330	28	Q30610027	The Liberal Imagination	book by Lionel Trilling	Lionel Trilling	1950	1950	high	accepted_overlay
Life on Mars	2331	57	""	""	""	""	""	""	""	no_high_confidence_match
The Bean Trees	2332	24	Q7716005	The Bean Trees	novel by Barbara Kingsolver	Barbara Kingsolver	1988	1988	high	accepted_overlay
Shiva of the Knees	2333	62	""	""	""	""	""	""	""	no_high_confidence_match
The Family Reunion	2334	50	Q7733327	The Family Reunion	play written by T. S. Eliot	T. S. Eliot		""	medium	accepted_overlay
Jenny	2335	21	""	""	""	""	""	""	""	no_high_confidence_match
A Narrow Fellow in the Grass	2336	56	Q19023741	A narrow fellow in the grass	poem by Emily Dickinson	Emily Dickinson	1860	1860	high	accepted_overlay
The Aspern Papers	2337	51	""	""	""	""	""	""	""	no_high_confidence_match
Old Possum's Book of Practical Cats	2338	34	Q671859	Old Possum's Book of Practical Cats	poetry collection by T. S. Eliot	T. S. Eliot	1939	1939	high	accepted_overlay
The Hill We Climb	2339	27	Q104923387	The Hill We Climb	poem by Amanda Gorman	Amanda Gorman	2021	2021	high	accepted_overlay
Self-Taught Man	2340	50	""	""	""	""	""	""	""	no_high_confidence_match
Break, Break, Break	2341	33	Q4959227	Break, Break, Break	poem by Lord Tennyson	Alfred Tennyson	1842	1842	high	accepted_overlay
The Day He Himself Shall Wipe My Tears Away	2342	29	Q7729169	The Day He Himself Shall Wipe My Tears Away	1972 novel	Kenzaburō Ōe	1972	1972	high	accepted_overlay
Poems and Ballads	2343	56	""	""	""	""	""	""	""	no_high_confidence_match
Canzoniere	2344	23	""	""	""	""	""	""	""	no_high_confidence_match
The Kingdom of God is Within You	2345	51	""	""	""	""	""	""	""	no_high_confidence_match
Thomas and Beulah	2346	48	Q7795400	Thomas and Beulah	book by Rita Dove	Rita Dove	1986	1986	high	accepted_overlay
The White Negro	2347	37	Q7774536	The White Negro	1957 essay by Norman Mailer	Norman Mailer	1957	1957	high	accepted_overlay
Pericles, Prince of Tyre	2348	20	Q584729	Pericles, Prince of Tyre	play written in part by William Shakespeare	William Shakespeare; George Wilkins	1609	1609	high	accepted_overlay
The Honest Whore	2349	35	Q7740119	The Honest Whore	play written by Thomas Dekker	Thomas Dekker		""	medium	accepted_overlay
Dyadya Vanya	2350	22	""	""	""	""	""	""	""	no_high_confidence_match
Romance Sonambulo	2351	37	""	""	""	""	""	""	""	no_high_confidence_match
Washington Irving's	2352	50	""	""	""	""	""	""	""	no_high_confidence_match
Open City	2353	27	Q18450839	Open City	2011 novel by Teju Cole	Teju Cole	2011	2011	high	accepted_overlay
Fuente Ovejuna	2354	24	""	""	""	""	""	""	""	no_high_confidence_match
A World Without Collisions	2355	55	""	""	""	""	""	""	""	no_high_confidence_match
A Little Cloud	2356	47	Q861185	A Little Cloud	1914 short story by James Joyce	James Joyce	1914	1914	high	accepted_overlay
Prize Stock	2357	25	Q11666781	Prize Stock	short story by Kenzaburō Ōe	Kenzaburō Ōe	1957	1957	high	accepted_overlay
All My Pretty Ones	2358	50	""	""	""	""	""	""	""	no_high_confidence_match
The War Prayer	2359	28	""	""	""	""	""	""	""	no_high_confidence_match
Sure Thing	2360	32	Q7645592	Sure Thing	play written by David Ives	David Ives		""	medium	accepted_overlay
The Kentucky Derby is Decadent and Depraved	2361	53	""	""	""	""	""	""	""	no_high_confidence_match
The Visit	2362	18	""	""	""	""	""	""	""	no_high_confidence_match
The Lying Days	2363	53	Q20750692	The Lying Days	1953 novel by Nadine Gordimer	Nadine Gordimer	1953	1953	high	accepted_overlay
The Clown	2364	19	Q514002	The Clown	1963 novel by Heinrich Böll	Heinrich Böll	1963	1963	high	accepted_overlay
Riders in the Chariot	2365	53	Q7332623	Riders in the Chariot	novel by Patrick White	Patrick White	1961	1961	high	accepted_overlay
Who is Sylvia	2366	50	Q28402188	Who Is Sylvia?	play written by Terence Rattigan	Terence Rattigan		""	medium	accepted_overlay
The Tortoise and the Hare	2367	54	Q1067484	The Tortoise and the Hare	fable by Aesop	Aesop		""	medium	accepted_overlay
We Should All Be Feminists	2368	64	""	""	""	""	""	""	""	no_high_confidence_match
Raise High the Roof Beam	2369	51	""	""	""	""	""	""	""	no_high_confidence_match
The Apprenticeship of Duddy Kravitz	2370	31	Q2085749	The Apprenticeship of Duddy Kravitz	novel by Mordecai Richler	Mordecai Richler	1959	1959	high	accepted_overlay
Justine	2371	23	Q1329470	Justine	1791 erotic novel by the Marquis de Sade	Marquis de Sade	1791	1791	high	accepted_overlay
Mi Ultimo Adios	2372	26	Q740855	Mi último adiós	poem by José Rizal	José Rizal	1898	1898	high	accepted_overlay
The Lady of Shallott	2373	20	""	""	""	""	""	""	""	no_high_confidence_match
The Uprooted Pine	2374	53	Q892282	The Uprooted Pine	play by Chikamatsu Monzaemon	Chikamatsu Monzaemon		""	medium	accepted_overlay
The Notebooks of Malte Laurids Brigge	2375	48	""	""	""	""	""	""	""	no_high_confidence_match
The Four Zoas	2376	48	Q7909185	Vala, or The Four Zoas	book by William Blake	William Blake	1795	1795	high	accepted_overlay
Gigi	2377	29	""	""	""	""	""	""	""	no_high_confidence_match
The Three-Cornered World	2337	28	""	""	""	""	""	""	""	no_high_confidence_match
The Lotus-Eaters	2338	48	Q7748824	The Lotus Eaters	book by Tatjana Soli	Tatjana Soli	2010	2010	high	accepted_overlay
The Happy Prince	2339	49	Q1198734	The Happy Prince	literary fairy tale by Oscar Wilde	Oscar Wilde	1888	1888	high	accepted_overlay
Spirit of Evil	2340	52	""	""	""	""	""	""	""	no_high_confidence_match
The Blind Owl	2341	26	Q1211660	The Blind Owl	1937 novel by Sadegh Hedayat	Sadegh Hedayat	1937	1937	high	accepted_overlay
The Holy War	2342	50	Q4920388	The Holy War	1682 novel by John Bunyan	John Bunyan	1682	1682	high	accepted_overlay
The Black Tulip	2343	50	Q1141764	The Black Tulip	novel by Alexandre Dumas	Alexandre Dumas	1850	1850	high	accepted_overlay
The Lightning-Rod Man	2344	46	""	""	""	""	""	""	""	no_high_confidence_match
Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death	2345	29	""	""	""	""	""	""	""	no_high_confidence_match
Killing an Arab	2346	51	""	""	""	""	""	""	""	no_high_confidence_match
The Bridges of Madison County	2347	34	Q284395	The Bridges of Madison County	1992 novel by Robert James Waller	Robert James Waller	1992	1992	high	accepted_overlay
Fifty Grand	2348	21	Q5447638	Fifty Grand	short story by Ernest Hemingway	Ernest Hemingway	1927	1927	high	accepted_overlay
Song Book	2349	19	Q777574	Il Canzoniere	poetry anthology by Petrarch	Petrarch	1336	1336	high	accepted_overlay
The Mystery of the Yellow Room	2350	25	Q2563691	The Mystery of the Yellow Room	novel by Gaston Leroux	Gaston Leroux	1907	1907	high	accepted_overlay
Little Lord Fauntleroy	2351	19	Q387480	Little Lord Fauntleroy	novel by Frances Hodgson Burnett	Frances Hodgson Burnett	1885	1885	high	accepted_overlay
Minna von Barnhelm	2352	27	Q1209859	Minna von Barnhelm	play written by Gotthold Ephraim Lessing	Gotthold Ephraim Lessing	1767	1767	high	accepted_overlay
L’école des femmes	2353	19	Q101479354	L'école des Femmes	book	André Gide	1929	1929	high	accepted_overlay
The Rape of Lucrece	2354	50	Q1398793	The Rape of Lucrece	poem by William Shakespeare	William Shakespeare	1594	1594	high	accepted_overlay
Helen in Egypt	2355	49	""	""	""	""	""	""	""	no_high_confidence_match
Georgics	2356	17	Q674439	Georgics	poem by Virgil	Virgil	-37	37 BCE	high	accepted_overlay
The Intentional Fallacy	2357	29	""	""	""	""	""	""	""	no_high_confidence_match
The Necessity of Atheism	2358	48	""	""	""	""	""	""	""	no_high_confidence_match
Se una notte d'inverno un viaggiatore	2359	29	""	""	""	""	""	""	""	no_high_confidence_match
Book of Ecclesiastes	2360	56	Q131072	Ecclesiastes	book of the Bible	Qohelet		""	medium	accepted_overlay
The Vision of Sir Launfal	2361	30	""	""	""	""	""	""	""	no_high_confidence_match
Dune	2362	18	Q190192	Dune	1965 science fiction novel by Frank Herbert	""	1965	1965	medium	accepted_overlay
The Dumbwaiter	2363	18	""	""	""	""	""	""	""	no_high_confidence_match
The Poetic Principle	2364	30	Q1171513	The Poetic Principle	essay by Edgar Allan Poe on his literary theory	Edgar Allan Poe	1850	1850	high	accepted_overlay
John	2365	23	""	""	""	""	""	""	""	no_high_confidence_match
The Epic of the Wheat	2366	52	Q7732336	The Epic of the Wheat	novel by Frank Norris	Frank Norris		""	medium	accepted_overlay
reasonable equivalents	2367	26	""	""	""	""	""	""	""	no_high_confidence_match
Woman in the Nineteenth Century	2368	56	Q8030728	Woman in the Nineteenth Century	book by Margaret Fuller	Margaret Fuller	1843	1843	high	accepted_overlay
One Man's Bible	2369	38	Q390176	One Man's Bible	1999 novel by Gao Xingjian	Gao Xingjian	1999	1999	high	accepted_overlay
Two Minutes Hate	2370	49	""	""	""	""	""	""	""	no_high_confidence_match
We Are Seven	2371	50	Q7977884	We are Seven	poem by William Wordsworth	William Wordsworth	1798	1798	high	accepted_overlay
The Book of Disquiet	2372	28	""	""	""	""	""	""	""	no_high_confidence_match
The Cross of Snow	2373	51	""	""	""	""	""	""	""	no_high_confidence_match
She Came to Stay	2375	46	Q859773	She Came to Stay	1943 novel by Simone de Beauvoir	Simone de Beauvoir	1943	1943	high	accepted_overlay
The Moon is Down	2376	31	Q1195848	The Moon Is Down	1942 novella by John Steinbeck	John Steinbeck	1942	1942	high	accepted_overlay
Tales of the South Pacific	2377	32	""	""	""	""	""	""	""	no_high_confidence_match
Not Without Laughter	2378	47	Q7062232	Not Without Laughter	novel by Langston Hughes	Langston Hughes		""	medium	accepted_overlay
The Outline of History	2379	50	Q5840464	The Outline of History	book by H. G. Wells	H. G. Wells	1919	1919	high	accepted_overlay
The Oven Bird	2380	27	Q7755727	The Oven Bird	poem	Robert Frost		""	medium	accepted_overlay
Writing Degree Zero	2381	52	""	""	""	""	""	""	""	no_high_confidence_match
Herland	2382	22	Q5739278	Herland	1915 novel by Charlotte Perkins Gilman	Charlotte Perkins Gilman	1915	1915	high	accepted_overlay
The Rhodora	2383	23	Q7760610	The Rhodora	poem written by Ralph Waldo Emerson	Ralph Waldo Emerson		""	medium	accepted_overlay
Vandover and the Brute	2384	32	Q19881660	Vandover and the Brute	1914 novel by Frank Norris	Frank Norris	1914	1914	high	accepted_overlay
Diary of a Superfluous Man	2385	56	""	""	""	""	""	""	""	no_high_confidence_match
Vanity Fair: A Novel without a Hero	2386	21	Q111271937	Vanity Fair: A Novel without a Hero	novel by William Makepeace Thackeray	William Makepeace Thackeray		""	medium	accepted_overlay
A Toccata of Galuppi’s	2387	22	Q2819931	A Toccata of Galuppi's	poem	Robert Browning		""	medium	accepted_overlay
Hippolytus	2388	27	Q375786	Hippolytus	ancient Greek tragedy by Euripides	Euripides		""	medium	accepted_overlay
Inside the Whale	2389	32	Q2908748	Inside the Whale	1940 essay by George Orwell	George Orwell	1940	1940	high	accepted_overlay
The Motorcycle Diaries	2390	53	""	""	""	""	""	""	""	no_high_confidence_match
Who is John Galt	2391	48	""	""	""	""	""	""	""	no_high_confidence_match
Save Me the Waltz	2392	33	Q2822836	Save Me the Waltz	book by Zelda Fitzgerald	Zelda Fitzgerald	1932	1932	high	accepted_overlay
A Defence of Poetry	2393	32	Q3707362	A Defence of Poetry	essay by Percy Bysshe Shelley	Percy Bysshe Shelley	1840	1840	high	accepted_overlay
Darwin Among the Machines	2394	27	""	""	""	""	""	""	""	no_high_confidence_match
Sevastopol Sketches	2395	28	""	""	""	""	""	""	""	no_high_confidence_match
The Flesh and the Spirit	2396	29	""	""	""	""	""	""	""	no_high_confidence_match
Return to My Native Land	2397	50	""	""	""	""	""	""	""	no_high_confidence_match
Work in Progress	2398	47	""	""	""	""	""	""	""	no_high_confidence_match
The Hotel New Hampshire	2399	47	Q1169021	The Hotel New Hampshire	novel by John Irving	John Irving	1981	1981	high	accepted_overlay
The Spirit of the Age	2400	54	Q7765949	The Spirit of the Age	book by William Hazlitt	William Hazlitt		""	medium	accepted_overlay
Tristan and Iseult	2401	25	Q7844150	Tristan and Iseult	1971 novel by Rosemary Sutcliff	Rosemary Sutcliff	1971	1971	high	accepted_overlay
Islands in the Stream	2402	45	Q1664485	Islands in the Stream	1970 novel by Ernest Hemingway	Ernest Hemingway	1970	1970	high	accepted_overlay
When Rain Clouds Gather	2403	26	Q111944207	When Rain Clouds Gather	1968 Bessie Head novel	Bessie Emery Head	1968	1968	high	accepted_overlay
Winterreise	2404	20	""	""	""	""	""	""	""	no_high_confidence_match
The Spanish Gypsy	2405	31	""	""	""	""	""	""	""	no_high_confidence_match
Peeling the Onion	2406	54	Q124311994	Peeling the Onion	book by Wendy Orr	Wendy Orr	1996	1996	high	accepted_overlay
If Beale Street Could Talk	2407	46	Q15052484	If Beale Street Could Talk	novel by James Baldwin	James Baldwin	1974	1974	high	accepted_overlay
The Day of the Jackal	2408	46	""	""	""	""	""	""	""	no_high_confidence_match
Clay	2409	21	""	""	""	""	""	""	""	no_high_confidence_match
The Idiot Boy	2410	31	Q7741358	The Idiot Boy	poem	William Wordsworth		""	medium	accepted_overlay
Cymbeline	2411	15	Q730212	Cymbeline	play by William Shakespeare	William Shakespeare	1623	1623	high	accepted_overlay
Crimes of the Heart	2412	22	Q1633629	Crimes of the Heart	play by Beth Henley	Beth Henley		""	medium	accepted_overlay
Friends of the ABC	2413	49	""	""	""	""	""	""	""	no_high_confidence_match
An die Freude	2414	23	""	""	""	""	""	""	""	no_high_confidence_match
Inter Ice Age 4	2415	34	Q470397	Inter Ice Age 4	1959 novel by Kobo Abe	Kōbō Abe	1959	1959	high	accepted_overlay
El laberinto de la soledad	2416	18	""	""	""	""	""	""	""	no_high_confidence_match
Double Indemnity	2417	28	Q2270341	Double Indemnity	novel by James M. Cain	James M. Cain	1943	1943	high	accepted_overlay
Teddy	2418	26	""	""	""	""	""	""	""	no_high_confidence_match
Ruslan and Ludmilla	2419	49	""	""	""	""	""	""	""	no_high_confidence_match
Win Ben Stein’s Money	2420	21	""	""	""	""	""	""	""	no_high_confidence_match
The Wonderful Adventures of Nils	2421	50	Q726254	The Wonderful Adventures of Nils	1906 children's fantasy novel by Selma Lagerlöf	Selma Lagerlöf	1906	1906	high	accepted_overlay
Tono-Bungay	2422	45	Q1535422	Tono-bungay	novel by H.G. Wells	H. G. Wells	1909	1909	high	accepted_overlay
Caliban Upon Setebos	2423	37	Q5019815	Caliban upon Setebos	poem	Robert Browning		""	medium	accepted_overlay
Liza of Lambeth	2424	45	Q1866618	Liza of Lambeth	1897 novel by William Somerset Maugham	William Somerset Maugham	1897	1897	high	accepted_overlay
The Beautiful and the Damned	2425	28	""	""	""	""	""	""	""	no_high_confidence_match
The Third Life of Grange Copeland	2426	49	""	""	""	""	""	""	""	no_high_confidence_match
Confessions of Felix Krull	2427	46	Q137052	Confessions of Felix Krull	1954 novel by Thomas Mann	Thomas Mann	1954	1954	high	accepted_overlay
Como agua para chocolate	2428	17	""	""	""	""	""	""	""	no_high_confidence_match
The Revolution Will Not Be Televised	2429	26	Q7760580	The Revolution Will Not Be Televised	2004 book by Joe Trippi	""	2004	2004	medium	accepted_overlay
The Boys from Brazil	2430	42	""	""	""	""	""	""	""	no_high_confidence_match
The Little Drummer Girl	2431	23	Q1214462	The Little Drummer Girl	1983 novel by John le Carré	John le Carré	1983	1983	high	accepted_overlay
Parable of the Good Samaritan	2432	21	""	""	""	""	""	""	""	no_high_confidence_match
The Erl-King	2433	49	Q3226565	The Erl-King	novel by Michel Tournier	Michel Tournier	1970	1970	high	accepted_overlay
Design	2435	24	""	""	""	""	""	""	""	no_high_confidence_match
I Am a Camera	2436	44	""	""	""	""	""	""	""	no_high_confidence_match
Aladdin	2437	18	""	""	""	""	""	""	""	no_high_confidence_match
The Town and the City	2438	51	Q2333013	The Town and the City	novel by Jack Kerouac	Jack Kerouac	1950	1950	high	accepted_overlay
Scarlet and Black	2439	18	""	""	""	""	""	""	""	no_high_confidence_match
The Pisan Cantos	2440	30	""	""	""	""	""	""	""	no_high_confidence_match
The Soft Voice of the Serpent	2441	50	""	""	""	""	""	""	""	no_high_confidence_match
The Sonnets to Orpheus and the Duino Elegies	2442	47	""	""	""	""	""	""	""	no_high_confidence_match
Nana	2443	21	""	""	""	""	""	""	""	no_high_confidence_match
An Essay on Blindness	2444	17	""	""	""	""	""	""	""	no_high_confidence_match
London, 1802	2445	31	""	""	""	""	""	""	""	no_high_confidence_match
Edgar Huntly	2446	25	Q5337298	Edgar Huntly	1799 novel by Charles Brockden Brown	Charles Brockden Brown	1799	1799	high	accepted_overlay
The Caretaker	2447	20	Q1194169	The Caretaker	play written by Harold Pinter	Harold Pinter		""	medium	accepted_overlay
Main Travelled Roads	2448	31	Q16386851	Main-Travelled Roads	book by Hamlin Garland	Hamlin Garland	1891	1891	high	accepted_overlay
The History Boys	2449	30	Q5572447	The History Boys	play by Alan Bennett	Alan Bennett	2004	2004	high	accepted_overlay
The Circle Game	2450	43	Q7723073	The Circle Game	book by Margaret Atwood	Margaret Atwood	1964	1964	high	accepted_overlay
Thalaba the Destroyer	2451	25	""	""	""	""	""	""	""	no_high_confidence_match
Between the World and Me	2452	54	Q20669329	Between the World and Me	2015 book by Ta-Nehisi Coates	Ta-Nehisi Coates	2015	2015	high	accepted_overlay
How the Leopard Got His Spots	2453	33	""	""	""	""	""	""	""	no_high_confidence_match
Before Night Falls	2454	29	""	""	""	""	""	""	""	no_high_confidence_match
Empedocles on Etna	2455	46	""	""	""	""	""	""	""	no_high_confidence_match
The Lovesong of J. Alfred Prufrock	2456	20	""	""	""	""	""	""	""	no_high_confidence_match
The Day the Leader was Killed	2457	52	Q7729227	The Day the Leader was Killed	1985 novel by Naguib Mahfouz	Naguib Mahfouz	1985	1985	high	accepted_overlay
A Horseman in the Sky	2458	27	Q4657405	A Horseman in the Sky	short story by Ambrose Bierce	Ambrose Bierce	1889	1889	high	accepted_overlay
Berlin Alexanderplatz	2459	24	Q694245	Berlin Alexanderplatz	novel by Alfred Döblin	Alfred Döblin	1929	1929	high	accepted_overlay
Vineland	2460	17	Q2738674	Vineland	novel by Thomas Pynchon	Thomas Pynchon	1990	1990	high	accepted_overlay
Outside the Town of Malbork	2461	44	""	""	""	""	""	""	""	no_high_confidence_match
The Premature Burial	2462	27	Q2086517	The Premature Burial	short story by Edgar Allan Poe	Edgar Allan Poe	1844	1844	high	accepted_overlay
Teach Us to Outgrow Our Madness	2463	48	Q5475651	Teach Us to Outgrow Our Madness	1969 short story collection by Kenzaburō Ōe	Kenzaburō Ōe	1969	1969	high	accepted_overlay
The Buried Giant	2464	37	Q19363462	The Buried Giant	2015 novel by Kazuo Ishiguro	Kazuo Ishiguro	2015	2015	high	accepted_overlay
Sand and Foam	2465	45	""	""	""	""	""	""	""	no_high_confidence_match
The Grandissimes	2466	17	Q7737514	The Grandissimes	novel by George Washington Cable	George Washington Cable		""	medium	accepted_overlay
Euclid Alone Has Looked On Beauty Bare	2467	46	""	""	""	""	""	""	""	no_high_confidence_match
The Conference of the Birds	2468	49	Q2271966	The Conference of the Birds	Persian poem by Sufi poet Attar	Attar of Nishapur	1177	1177	high	accepted_overlay
Tales of My Landlord	2470	47	""	""	""	""	""	""	""	no_high_confidence_match
The Fish	2471	32	""	""	""	""	""	""	""	no_high_confidence_match
The Goophered Grapevine	2472	29	Q19088555	The Goophered Grapevine	short story by Charles Chesnutt	Charles Chesnutt	1899	1899	high	accepted_overlay
Lyrics of Lowly Life	2473	45	Q111889807	Lyrics of Lowly Life	1896 collection of poetry by Paul Laurence Dunbar	Paul Laurence Dunbar	1896	1896	high	accepted_overlay
Billy Budd, Sailor	2474	16	Q863037	Billy Budd, Sailor	novella by Herman Melville	Herman Melville	1924	1924	high	accepted_overlay
Cinderella	2475	24	""	""	""	""	""	""	""	no_high_confidence_match
A Dissertation Upon Roast Pig	2476	24	""	""	""	""	""	""	""	no_high_confidence_match
The Flies	2477	20	Q1212496	The Flies	1947 play by Jean-Paul Sartre	Jean-Paul Sartre	1947	1947	high	accepted_overlay
Maud Martha	2478	29	Q17006637	Maud Martha	book by Gwendolyn Brooks	Gwendolyn Brooks	1953	1953	high	accepted_overlay
Pike County Ballads	2479	29	Q16947415	Pike County Ballads	book by John Hay	John Hay	1871	1871	high	accepted_overlay
Whole Sick Crew	2480	49	""	""	""	""	""	""	""	no_high_confidence_match
Eagle or Sun	2481	44	""	""	""	""	""	""	""	no_high_confidence_match
The Golden Lotus	2482	26	Q753535	Jin Ping Mei	1610 Chinese naturalistic novel	Lanling Xiaoxiao Sheng	1610	1610	high	accepted_overlay
The True-Born Englishman	2483	47	""	""	""	""	""	""	""	no_high_confidence_match
Barabbas	2484	17	Q547731	Barabbas	novel by Pär Lagerkvist	Pär Lagerkvist	1950	1950	high	accepted_overlay
My Dungeon Shook	2485	50	""	""	""	""	""	""	""	no_high_confidence_match
Dust Tracks on a Road	2486	28	Q5316992	Dust Tracks on a Road	autobiographical book by Zora Neale Hurston	Zora Neale Hurston	1942	1942	high	accepted_overlay
A Peep at Polynesian Life	2487	45	""	""	""	""	""	""	""	no_high_confidence_match
Life is Elsewhere	2488	40	Q966732	Life Is Elsewhere	novel by Milan Kundera	Milan Kundera		""	medium	accepted_overlay
Faust Part II	2489	18	""	""	""	""	""	""	""	no_high_confidence_match
The Five-Forty-Eight	2490	27	Q7734260	The Five-Forty-Eight	short story by John Cheever	John Cheever		""	medium	accepted_overlay
Et dukkehjem	2491	27	Q669694	A Doll's House	1879 play by Henrik Ibsen	Henrik Ibsen	1879	1879	high	accepted_overlay
Blindness and Insight	2492	30	""	""	""	""	""	""	""	no_high_confidence_match
Tales of the Alhambra	2493	49	Q1210997	Tales of the Alhambra	book	Washington Irving	1832	1832	high	accepted_overlay
Dance of the Lost Traveller	2494	46	""	""	""	""	""	""	""	no_high_confidence_match
Fire Down Below	2495	50	Q18276103	Fire Down Below	book by William Golding	William Golding		""	medium	accepted_overlay
The Girl from Samos	2496	24	Q3822133	Samia	ancient Greek comedy by Menander	Menander		""	medium	accepted_overlay
El beso de la mujer araña	2497	15	""	""	""	""	""	""	""	no_high_confidence_match
The Trials of Brother Jero	2498	43	Q9358278	The Trials of Brother Jero	play by Wole Soyinka	Wole Soyinka	1964	1964	high	accepted_overlay
Must We Mean What We Say	2499	23	""	""	""	""	""	""	""	no_high_confidence_match
