rank	title	total_question_count	tier	boundary_domain	boundary_reason	dominant_quizbowl_track	quizbowl_track_profile	literature_track_count	non_literature_track_count	work_form	reading_unit	region_or_tradition	suggested_action
1986	The Sword in the Stone	72	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	60	unknown_form	modernism	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1580	Of Time and the River	71	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	72	long_fiction	modernism	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1984	The Battles of Coxinga	70	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	60	drama	eighteenth_century_prose_and_drama	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1270	The East Wing	69	qb_major	music_performance	music_or_performance_signal	fine_arts	cross_category_literary	2	46	short_fiction	short_fiction	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1477	Quincas Borba	69	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	58	long_fiction	nineteenth_century_fiction	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1473	The Deptford Trilogy	66	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	60	unknown_form	unclassified_unit	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2096	Azul	65	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	50	collection_or_cycle	nineteenth_century_poetry_and_drama	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2035	Little House on the Prairie	63	qb_major	music_performance	music_or_performance_signal	pop_culture	cross_category_literary	2	57	essay_memoir_nonfiction	literary_nonfiction	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1742	Pan Tadeusz	60	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	64	poetry	nineteenth_century_poetry_and_drama	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2012	Where the Sidewalk Ends	59	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	62	collection_or_cycle	postwar_literature	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2104	The Treasure of the Sierra Madre	59	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	54	collection_or_cycle	modernism	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1443	Gösta Berling’s Saga	57	qb_major	mythology	myth_or_oral_tradition_signal	other_academic	non_literature_context	0	42	long_fiction	fiction_and_narrative	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1786	The Floating Opera	57	qb_major	music_performance	music_or_performance_signal	literature	literature_dominant	37	14	unknown_form	unclassified_unit	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1790	The Owl and the Pussycat	57	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	61	poetry	poetry	english_british_irish	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2175	Fables of Faubus	57	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	54	short_fiction	short_fiction	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
